_t1,inventoryNo,regionId,illustrationFileName,name,ability,notes,type,subType,regionName,size,rank,discordChannelUrl
,AD1,A,DOKKEBI_01,101 (원오원),"열려라참깨 / 음과 양의 눈알, 녹색 털","도깨비월드에 들어서면 제일 먼저 만날 수 있다. 나무인척, 풀인척 하다가 언제 녹색 털을 드러내며 접근할지 모른다. 그는 다리 사이 세계를 품는 전설의 ‘꽃사자 종족’을 뿌리내린 최초의 선대. 물욕과 탐욕이 엄청나다. 그는 벌어진 ‘다리 틈’을 매울 머리를 찾아다닌다. 그렇게 틈에 딱 맞는 물건을 건내주면, 눈의 흰자와 검은자를 굴려, 당신을 어디로 보낼지 결정하게 된다.앵두깨비는 그의 탐욕을 알아보고 지박령 2마리를 귀속 시켜, 나무에 결박시킨 채 포탈로 활용한다. 이 녀석과의 첫 조우는 여행의 첫시작을 어렵게 만들수 있지만, 도깨비월드에 무사히 들어왔다는 반증이기도 하다. 지박령으로 부터 자유롭게 만들어 준다면, 대가 없이 두 세상을 자유로이 오고갈수 있는 능력을 얻게 될지도?",도깨비,꽃사자,호이스,대형,A,https://discord.com/channels/1283684660190249030/1283684661075120183
,AD2,A,DOKKEBI_02,타고난네 3총사,"허수깨비 분장 / -허수깨비 껍질, 타고난 채액","과거 타고난 피에서 ‘나이야가라’(구 나이의 방)를 운영하던 타고난네 형제. 그들의 능력을 필요로한 앵두깨비에 의해 호이스 근처로 떨어져 나왔다. (떨어져 나올때 둘에 딸려나온 ‘번뇌의방, 하얀밤’. 영이 반쯤만 분리되어 모습을 찾아 보기 어렵다.) 들어가는 입구와 나오는 입구가 항상 다르다. 그들의 뱃속으로 들어가, 인간 세상의 재밌는 이야기를 들려주고 나오게 되면. 인간의 땀을 흡수해 (그들이 질질 흘리는 침은 사실 인간의 땀이다.) 매마른 허수깨비의 모습으로 도깨비 나이를 새로 부여 받는다. (기본적으로 신의 대행자 ‘허수깨비’의 모습을 빌려 위험천만한 도깨비월드에서 방해 받지 않고 다닐 수 있다.) 안에 들어가서 단순하게 행동하라. 그들은 당신의 함정을 염두한 두려움을 읽는 만큼 차원을 나눈다. 그렇게 그들의 뱃속에서 길을 헤메게 된다면, 숨겨진 ‘하얀밤’으로 뱉어질 확률이 크다. 이 백색의 문에선, 허수허수깨비로 뱉어질지도 모른다는 전설이 존재한다.",성,타고난 피 종족,호이스,초대형,S,https://discord.com/channels/1283684660190249030/1283684661075120184
,AD3,A,DOKKEBI_03,깨뽀졸,"열려라참깨 / 방망이, 차원의 혓바닥","왕도깨비와 앵두깨비가 갈라지기전,그리고 원만부가 세상을 돌리기전, 남부의 왕 ‘표사자’와의 전투에서 승리하여 혓바닥을 빼앗아 깨뽀졸에게 부여했다. 원만부가 세상을 돌린 후 깨뽀졸은 혀를 내밀어 포털을 열수 있게 되었다. 우리 여행자들은 그의 입을 통해 도깨비월드에 발을 내딛는다. 도깨비월드에 들어설 때는, 영의 모습이기 때문에 대행할 육신이 없다. 사실상 ‘깨뽀졸‘로 들어와, ’타고난네 3총사‘를 거쳐야 비로소 ’허수깨비‘의 육신을 얻어 도깨비월드를 탐험할 수 있다.",도깨비,,호이스,초대형,S,https://discord.com/channels/1283684660190249030/1283684661075120185
,AD4,A,DOKKEBI_04,몬조 드바니,"그림자 흡수, 천리안 / 진실된 정보 단어, 정보 단어","도깨비 월드 곳곳에 가만히 서있는 그림자 표지판 도깨비 중 하나. 삼몽령의 거대한 그림자가 만들어낸 존재이며, 삼몽령의 그림자가 길게 누울수록 그들의 짙은 어둠과 영력은 더욱이 커진다. 영혼 안내자와 영혼 통달자로 구성되어있는 이들은 단두오름에서 떠도는 영혼들을 삼몽령으로 다시 귀화 시키기 위해 안내자로서의 뜻을 이행하고 있었다. 그들은 거대한 삼몽령의 그림자에 뿌리를 두고, 개개인의 경험과 심상을 한몸으로 느끼는 자웅동체이다. 이들의 그림자는 시끌벅적한 땅의 울림으로부터 해방된 영역에 있으며, 삼몽령으로 돌아가기를 거부하는 령들을 잡아다 그림자에 가두어 두기도 했다. 그들의 어둑한 주머니는 짙고 검어 마치 그 속이 어두운 바다처럼 투명하고 깊숙히 들여다 보인다 해야할까.. 우연히 (OD5)가 느낌표 문자를 그림자 속으로 흡수하게 되면서, 느낌표의 짜릿한 감각을 알게된다. 그순간 부터 영혼을 안내하던 제역할을 하지 않고, 글자를 주워먹고 산다. 이들이 나태해짐과 동시에, 영혼은 길을 잃고 자유롭게 도깨비 세상을 유랑하기 시작한다. 이 불멸자들은 도깨비 공원에 살면서도 인간세상에서 그림자가 없는 존재, 즉 귀신 또는 설명할수 없는 기괴한 일로 보여지곤한다. 고로 누구보다 인간의 곁에서, 언어,단어,개념같은 필멸자가 불멸로 향해가는 방식에 익숙하며, 그들의 염원이 강해지는 시기에 이들로 하여금 도깨비공원에 불멸을 향한 강력한 염원이 담긴 글자들이 뿌려질때가 있다. 글자를 찾아 헤메이는 그들은 자신의 그림자로부터 단어가 나온다는 것을 모르는 상태. 필멸자들의 바라는것과 느끼는것들에 잔뜩 중독이되어, 본질탐구에 대한 잔해요소가 많다. 인간의 단어들을 주워 먹고 사는 이들은 항시 어딘가를 바라보며, 가르키고 있다. 그들이 사라지는 시간에 맞춰 뒤를 쫒으면, 안내자들이 모여 사는 마을 ’차트랏’에 갈 수 있다. 그들이 매일 갈아입는 단어들을 쉽게 얻어 낼수 있다고 하는데, 이 세상에 글자가 귀한것을 보면, 그림자의 뒤를 밟기란 쉽지 않아 보인다. 그 외로 알려진 방법은 그들이 바라보는 방향의 시선을 환심을 끌어 바꿔내거나 당혹케 만들면, 몸을 부르르떨며 단어가 툭 툭 떨어진다. 이 때, 떨어진 단어들은 주로 여정에 도움이 되는 진실된 정보일 가능성이 크다. 탐험자가 과욕에 앞서 ‘몬조’의 몸에 닿으면, 그들은 당신의 그림자를 흡수 해버릴지도 모르니 조심하라. 가끔씩 '밖의 세계'의 이야기를 들려주곤 하는데, 정작 본인이 그 사실을 어떻게 알았는지는 알 수 없다. 애초에 '밖'을 알고 있다는 것 부터가 범상치 않은 그림자라 하겠다.",영혼,그림자 셰르파 부족,호이스,중형,B,https://discord.com/channels/1283684660190249030/1283686306588917823
,AD5,A,DOKKEBI_05,암굴왕,땅의 전율 / 비옥한 흙,"땅의 울림으로 들썩이는 돌. 땅의 울림이 상대적으로 미약하고 민감도가 떨어지는 이 지역 도깨비들의 특성을 보완하기 위해 앵두깨비는 참수대에서 굴러 떨어지는 머리모양을 착안해, ‘민감의 알’과 ‘천지인 돌’의 결합을 통해 암굴왕을 만들었다. 도깨비들은 이 녀석이 살아있는 줄 알며, 턱 떨림을 보고 남쪽으로부터의 땅의 전율을 파악한다. 그들에겐 이 돌은 왕도깨비가 관장하는 불사의 지역을 거슬러 목이 잘리고도 살아남은 머리라고 생각하여, 왕 도깨비만이 영혼을 관장하는 어마무시한 존재다 라는 사실을 부정하고 망각 시켜주는 존재. 왕도깨비의 허락없이는 존재 할수 없는 공간에 힘들게 도래하지 않아도, 앵두깨비 곁에서 불사의 존재로 살 수 있다는 어떠한 반증이 되어준다. ‘단두오름’을 본적 없는 이들은, 이가 생전에 ‘혀 절단자’라 불리던 수만명의 도깨비의 목을치던 악날한 참수관인줄 단단히 오해 하고있다.",도깨비,변종,호이스,소형,C,https://discord.com/channels/1283684660190249030/1283686341032411158
,BD1,B,DOKKEBI_06,피야,예언 / 예언의 눈알,"이 몸은 선래흘 지역의 유명한 수수께끼꾼으로 알려져 있다. 눈이 있는 쪽이 본체이며, 얼굴은 그저 위장에 가깝다. 왼쪽 어깨와 얼굴 자유자재로 본체를 옮겨 다닐수 있으며, 예언의 능력으로 진실과 유래의 무게에 끝없는 ‘허무의 굴’로 쉽게 빠질 수 있는 몸. 영혼의 장난끼가 높다면, 진실의 무게 앞에서도 유쾌할 수 있을지도 모른다.",도깨비,유랑비,제아쿨,중형,B,https://discord.com/channels/1283684660190249030/1283689577856503851
,BD2,B,DOKKEBI_07,두비다비,- / 좌심장과 우심장으로 나눠지는 줄기 세포 (어뎁터),"보이는대로 한 몸에 자아 두개. 두개의 영혼을 담을 수 있는 그릇을 가지고 있다. 오른쪽은 입만 달렸고, 왼쪽은 콧구멍만 달려, 암수 상관없이, 서로 협동해야만이 살아 갈 수 있는 운명 공동체. 이것은 수 많은 영혼이 한몸으로 성장치 못해 남겨진 이혼의 산물. 이몸의 주인도 갖은 갈등에 이혼을 결심하여 도깨비 시장에 나왔다. 주입되는 영혼에 따라 심장 박동수도 서로 다르게 뛰어, 리듬을 맞추지 않으면, 많이 뛰는 어느 한쪽이 크게 부플어 오르는데, 몸체가 커지는 쪽이 작은쪽을 취하여, 과욕을 부렸다가는 몸의 기능 하나를 잃게 된다. (수년간 몸을 갈구 하던 두 영혼이, 몸을 취하게 되더라도, 공동체 의식을 실천하지 않는다면, 몸의 기능 하나를 잃게 된다는 교훈이 깃든 몸.) 이식전에 함께 탑승할 동반자의 목적과 성격을 충분히 고려해야 한다.",도깨비,,제아쿨,소형,E,https://discord.com/channels/1283684660190249030/1283689616200699924
,BD3,B,DOKKEBI_08,갓 (GOT),새로운 개념과 감각을 생성 / 도깨비 문자,"도깨비 문자의 근원이 되는 도깨비. 영혼이 인간계 문자에 미련을 갖게되어 순수혈통 방식으로 탄생한 특이한 케이스의 변종 도깨비이다. 왼쪽 눈과 오른쪽 눈의 다이얼을 돌리면 몸통이 다른 문자의 조합으로 바뀐다. (현재는 ‘도’,’깨’,’비’를 합친 문자로 맞춰둔 상태.) 여러 문자의 조합으로 만들어진 몸이라, 단어의 순수한 뜻과 힘을 갖진 못 하는듯 하나, 세상에 없던 새로운 조합의 새로운 뜻과 힘을 만들고 전파하는듯 하다. 지속력 좋은 영혼이 이몸을 취하게 된다면, 새로운 개념을 이세상에 뿌리 내릴지도 모른다.",도깨비,변종,제아쿨,소형,A,https://discord.com/channels/1283684660190249030/1283689662124261452
,BD4,B,DOKKEBI_09,추누주,육신을 가진 도깨비지만 차원의 번개를 이용해 혼도 공격 가능. / 차원을 넘나드는 번개 수염,"이 구역에 힘 꽤나 쓴다는 녀석. 포대자루로 이루어진 녀석의 몸채속에는 구리전선들과 못으로 가득하다. 갖가지 사연의 인간계 물건들로 가득 채워져 있는 추누주의 곁은 언제나 쇠 비릿내와 습기로 서늘하다. 과거 왕도깨비가 찢어놓은 목과 몸 사이는뜯어졌으나 종전후 왕도깨비는 냉기를 만들어, 몸과 얼굴을 연결해주었다. 턱 주변에 둥둥 떠있다. (그가 크게 숨 쉴때면 못 따위의 작은 부품들이 쏟아지곤 한다.) 귀신 종족 특유의 ‘차원의 기운’이 느껴지는 이 수염을 한 웅큼 뜯어 던지면, 청록빛의 번개공격이 가능하다. 그 차원의 빛은 영혼과 몸 둘다 물리적으로 데미지를 줄 수가 있으며, 현 세상에서 왕도깨비만이 가능한 기술로 높이 평가된다. 한 때는 북부의 지배자였으나, 왕도깨비에게 패배하며, 도깨비 시장에 팔려왔다. 누각(BD24)과 실력으로 일각을 다퉜으며, 둘 사이에 잦은 전투가 있었던 것으로 알려져 있다. 이 무거운 몸을 지니려면, 영혼의 강한 악력과 탐욕을 필요로 한다.",만물,,제아쿨,대형,A,https://discord.com/channels/1283684660190249030/1283689697910067250
,BD5,B,DOKKEBI_10,궁그무,궁금증을 먹어드려요. / 몇세대의 고민을 삼킨 뱃속의 거대한 물음표,"보이는 대로 모든 궁금증을 신맛으로 음미하는 작은 도깨비. 눈을 감고 음미하는 모습의 귀여움은 폭발적다. 이몸은 피야 (BD1)의 펫으로 쓰여졌다. 해결되지 않는 고민이 많은 당신이라면, 무념무상의 애완동물 한마리 키우는것도…",동물,,제아쿨,소형,E,https://discord.com/channels/1283684660190249030/1283689850687721575
